Variable,Explanation,Unit
Date/Time,end time of 30 min interval,
TIMESTAMP_START,start time of 30 min interval,
TIMESTAMP_END,end time of 30 min interval,
TA_F,air temperature,°C
SW_IN_POT,potential incoming shortwave radiation,W m-2
SW_IN_F,incoming shortwave radiation,W m-2
LW_IN_F,incoming longwave radiation,W m-2
VPD_F,vapor pressure deficit,hPa
PA_F,air pressure,kPa
P_F,precipitation,mm (30 min)-1
WS_F,wind speed,m s-1
WD,wind direction,°
USTAR,friction velocity,m s-1
RH,relative humidity,unitless
PPFD_IN,incoming photosynthetic active radiation,µmol m-2 s-1
PPFD_OUT,outgoing photosynthetic active radiation,µmol m-2 s-1
SW_DIF,incoming shortwave diffuse radiation,W m-2
SW_OUT,outgoing shortwave radiation,W m-2
LW_OUT,outgoing longwave radiation,W m-2
CO2_F_MDS,CO2 concentration,µmol mol-1
TS_F_MDS_1,soil temperature in 2 cm depth,°C
TS_F_MDS_2,soil temperature in 5 cm depth,°C
TS_F_MDS_3,soil temperature in 10 cm depth,°C
TS_F_MDS_4,soil temperature in 20 cm depth,°C
TS_F_MDS_5,soil temperature in 50 cm depth,°C
SWC_F_MDS_1,soil water content in 5 cm,m3 m-3
SWC_F_MDS_2,soil water content in 15 cm,m3 m-3
SWC_F_MDS_3,soil water content in 30 cm,m3 m-3
G_F_MDS,soil heat flux ,W m-2
LE_F_MDS,latent heat flux,W m-2
LE_RANDUNC,latent heat flux uncertainty,W m-2
H_F_MDS,sensible heat flux,W m-2
H_RANDUNC,sensible heat flux uncertainty,W m-2
NIGHT,"1= night, 0=day",unitless
NEE_VUT_REF,net ecosystem CO2 exchange,µmol m-2 s-1
NEE_VUT_REF_JOINTUNC,net ecosystem CO2 exchange uncertainty,µmol m-2 s-1
RECO_NT_VUT_REF,ecosysetm respiration ,µmol m-2 s-1
GPP_NT_VUT_REF,gross primary productivity,µmol m-2 s-1
